epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,45.8175,0.9841,1.87061,1.29566,1.08576,0,0.78664,0.94,0.95155,0.7873,0.74704,0.89745,0.88036,0.60352,0.72915,1.98706,1.20642,0.99214,0,0.00024901,0.00024901,0.00024901
2,56.934,0.96106,1.81606,1.19973,1.07443,0,0.8457,0.87353,0.93441,0.75555,0.86752,0.80141,0.87792,0.60819,0.73693,2.01645,1.17025,1.00292,0,0.000499089,0.000499089,0.000499089
3,67.7177,0.98575,1.79813,1.16471,1.06736,0,0.81406,0.82525,0.92371,0.69528,0.77613,0.77243,0.84224,0.56652,0.83346,1.77449,1.41773,1.02205,0,0.000742825,0.000742825,0.000742825
4,78.3919,0.93387,1.68176,1.10291,1.05379,0,0.88648,0.85234,0.90672,0.72804,0.84563,0.81374,0.85171,0.61122,0.72526,2.12536,1.26124,0.99504,0,0.000740451,0.000740451,0.000740451
5,89.356,0.91624,1.67113,1.05202,1.05046,0,0.86158,0.90442,0.9307,0.75607,0.81778,0.86383,0.85999,0.6266,0.71261,1.79524,1.05613,0.98388,0,0.000730935,0.000730935,0.000730935
6,100.953,0.92486,1.74703,1.04405,1.05426,0,0.86269,0.90517,0.91541,0.75527,0.82354,0.86346,0.85169,0.60453,0.69646,1.65687,1.0738,0.95952,0,0.000721418,0.000721418,0.000721418
7,111.632,0.89297,1.67765,1.01076,1.04183,0,0.90073,0.87912,0.93166,0.74651,0.84245,0.82993,0.84572,0.57483,0.75712,2.44397,1.02695,0.9797,0,0.000711902,0.000711902,0.000711902
8,122.994,0.91454,1.6676,1.01215,1.04218,0,0.88724,0.90357,0.94561,0.77575,0.85186,0.85316,0.8785,0.59469,0.74562,2.13873,1.03755,1.01057,0,0.000702385,0.000702385,0.000702385
9,134.405,0.83467,1.54214,0.91867,1.00253,0,0.90502,0.88647,0.93753,0.76855,0.84591,0.82314,0.83502,0.60245,0.6782,2.26058,0.97308,0.96622,0,0.000692869,0.000692869,0.000692869
10,145.88,0.86581,1.57177,0.96443,1.03519,0,0.86909,0.90904,0.94508,0.77006,0.84571,0.86103,0.88055,0.61036,0.7093,1.97558,1.02667,0.97634,0,0.000683353,0.000683353,0.000683353
11,157.131,0.87136,1.70723,0.96803,1.03804,0,0.87884,0.89493,0.93529,0.77381,0.84461,0.85799,0.88468,0.6386,0.69656,1.8768,1.0232,0.97214,0,0.000673836,0.000673836,0.000673836
12,168.218,0.86253,1.67275,0.94419,1.01393,0,0.88762,0.90901,0.93759,0.7753,0.87534,0.85808,0.87477,0.62956,0.71532,1.81327,1.01196,0.98342,0,0.00066432,0.00066432,0.00066432
13,179.184,0.82572,1.53987,0.89008,1.00734,0,0.85836,0.92699,0.92376,0.77193,0.82047,0.89009,0.8649,0.59597,0.71297,1.77236,1.05647,0.97084,0,0.000654804,0.000654804,0.000654804
14,190.871,0.84114,1.56892,0.90066,1.01863,0,0.88593,0.88036,0.94,0.75526,0.83033,0.82793,0.8544,0.60502,0.71525,2.02907,1.01687,0.96818,0,0.000645287,0.000645287,0.000645287
15,202.034,0.81141,1.47912,0.84029,0.9907,0,0.90819,0.90909,0.94264,0.77759,0.86066,0.86331,0.87067,0.62375,0.66051,2.20639,0.93384,0.942,0,0.000635771,0.000635771,0.000635771
16,212.767,0.80551,1.48791,0.84704,0.99458,0,0.86295,0.91366,0.9394,0.7813,0.80963,0.86754,0.86771,0.62431,0.65098,1.75589,0.95801,0.96074,0,0.000626254,0.000626254,0.000626254
17,223.534,0.79737,1.57178,0.83868,0.9977,0,0.88176,0.90246,0.95219,0.79721,0.86297,0.84646,0.88641,0.65103,0.65277,2.01762,0.89155,0.95074,0,0.000616738,0.000616738,0.000616738
18,235.132,0.8087,1.56012,0.83499,0.98946,0,0.89886,0.90883,0.94855,0.75876,0.86601,0.86235,0.88268,0.64909,0.71395,2.19197,0.92047,0.9657,0,0.000607222,0.000607222,0.000607222
