frame,clase,conf,cx,cy,cz,dx,dy,dz,yaw_deg,n_pts,marco
0,ventana,0.992,-0.67,5.445,0.606,0.362,0.163,0.154,174.2,377,mundo
0,silla,0.946,-1.277,5.199,0.064,0.305,0.097,0.076,-15.0,211,mundo
0,silla,0.545,-1.614,3.035,-0.461,0.433,0.209,0.304,-95.4,1405,mundo
3,ventana,0.992,-0.628,5.436,0.587,0.35,0.176,0.167,169.8,403,mundo
3,silla,0.962,-0.971,5.194,0.208,0.548,0.131,0.119,172.8,464,mundo
3,silla,0.619,-1.617,3.04,-0.453,0.453,0.226,0.286,-91.9,1387,mundo
6,ventana,0.991,-0.634,5.436,0.584,0.358,0.185,0.167,171.1,400,mundo
6,silla,0.948,-0.727,5.251,-0.228,0.287,0.064,0.126,-31.4,219,mundo
6,silla,0.452,-1.684,2.623,-0.42,0.373,0.479,0.507,-115.7,1909,mundo
9,ventana,0.991,-0.624,5.439,0.586,0.326,0.182,0.154,171.7,330,mundo
9,silla,0.96,-1.04,5.259,-0.377,0.264,0.146,0.046,168.3,198,mundo
9,silla,0.516,-1.62,3.065,-0.445,0.418,0.215,0.281,-92.6,1210,mundo
12,ventana,0.991,-0.639,5.438,0.582,0.367,0.187,0.169,172.1,371,mundo
12,silla,0.964,-0.957,5.203,0.207,0.551,0.136,0.123,171.2,474,mundo
12,silla,0.489,-1.621,3.065,-0.448,0.424,0.216,0.28,-90.3,1256,mundo
15,ventana,0.992,-0.64,5.439,0.578,0.374,0.191,0.158,175.1,358,mundo
15,silla,0.964,-0.974,5.204,0.209,0.544,0.133,0.123,172.5,461,mundo
18,ventana,0.99,-1.198,5.528,0.561,0.302,0.201,0.09,147.9,299,mundo
18,silla,0.966,-0.957,5.201,0.207,0.548,0.135,0.12,171.8,477,mundo
18,silla,0.432,-1.626,3.054,-0.466,0.458,0.187,0.299,-99.1,1420,mundo
21,ventana,0.991,-0.64,5.441,0.583,0.367,0.188,0.169,171.9,403,mundo
21,silla,0.963,-0.966,5.207,0.207,0.559,0.135,0.125,172.6,484,mundo
21,silla,0.469,-1.377,2.342,0.097,0.425,0.271,0.435,-100.1,1821,mundo
24,ventana,0.991,-0.629,5.443,0.588,0.354,0.184,0.162,171.2,368,mundo
24,silla,0.964,-0.958,5.211,0.205,0.549,0.14,0.119,170.3,467,mundo
24,silla,0.456,-1.623,3.045,-0.469,0.435,0.202,0.319,-104.8,1409,mundo
27,ventana,0.992,-0.636,5.444,0.588,0.362,0.179,0.169,171.6,351,mundo
27,silla,0.943,-0.906,5.2,0.243,0.429,0.086,0.103,172.6,289,mundo
27,silla,0.414,-1.393,2.262,0.13,0.49,0.25,0.241,-92.0,1564,mundo
30,ventana,0.992,-0.628,5.441,0.593,0.346,0.179,0.171,167.6,380,mundo
30,silla,0.946,-0.956,5.212,0.193,0.53,0.177,0.11,170.2,458,mundo
30,silla,0.476,-1.39,2.677,-0.148,0.42,0.267,0.633,-89.1,2030,mundo
33,ventana,0.992,-1.203,5.536,0.561,0.304,0.202,0.108,149.8,301,mundo
33,silla,0.967,-1.037,5.247,-0.373,0.289,0.167,0.043,170.7,250,mundo
33,silla,0.457,-1.387,2.679,-0.135,0.418,0.263,0.658,-85.1,2001,mundo
36,ventana,0.992,-0.638,5.439,0.586,0.371,0.19,0.145,175.4,373,mundo
36,silla,0.965,-1.256,5.169,0.053,0.295,0.133,0.076,-13.2,258,mundo
36,silla,0.408,-1.628,3.068,-0.47,0.472,0.167,0.294,-97.2,1278,mundo
39,ventana,0.993,-0.621,5.442,0.583,0.353,0.186,0.158,171.4,370,mundo
39,silla,0.953,-1.257,5.161,0.057,0.291,0.124,0.086,-15.8,255,mundo
39,silla,0.517,-1.639,3.075,-0.467,0.516,0.172,0.263,-88.6,1239,mundo
42,ventana,0.991,-0.625,5.438,0.584,0.362,0.186,0.155,171.1,413,mundo
42,silla,0.944,-1.257,5.155,0.055,0.29,0.12,0.089,-19.3,250,mundo
42,silla,0.557,-1.701,2.669,-0.441,0.44,0.54,0.451,-102.5,1412,mundo
45,ventana,0.992,-0.618,5.434,0.586,0.356,0.182,0.146,170.6,359,mundo
45,silla,0.969,-1.325,5.24,-0.419,0.293,0.102,0.106,-140.4,325,mundo
45,silla,0.533,-1.375,2.688,-0.142,0.427,0.248,0.618,-84.2,1832,mundo
48,ventana,0.993,-0.615,5.43,0.586,0.353,0.183,0.146,168.4,367,mundo
48,silla,0.961,-1.325,5.234,-0.425,0.282,0.09,0.1,-131.6,287,mundo
48,silla,0.567,-1.645,3.15,-0.439,0.393,0.154,0.293,-98.0,1016,mundo
51,ventana,0.993,-0.614,5.43,0.585,0.352,0.185,0.147,167.7,409,mundo
51,silla,0.968,-0.894,5.188,0.245,0.412,0.079,0.094,170.0,262,mundo
51,silla,0.541,-1.639,3.065,-0.492,0.359,0.138,0.373,-101.6,1160,mundo
54,ventana,0.993,-0.623,5.417,0.592,0.359,0.188,0.143,166.1,420,mundo
54,silla,0.959,-1.321,5.237,-0.424,0.303,0.121,0.117,-151.0,346,mundo
54,silla,0.509,-1.636,3.044,-0.503,0.417,0.136,0.363,-99.2,1306,mundo
57,ventana,0.991,-0.622,5.416,0.591,0.358,0.189,0.155,164.4,446,mundo
57,silla,0.959,-0.859,5.179,0.24,0.328,0.094,0.103,168.3,228,mundo
57,silla,0.572,-1.645,3.097,-0.451,0.503,0.179,0.27,-86.7,1232,mundo
60,ventana,0.992,-0.625,5.417,0.591,0.363,0.186,0.161,164.9,462,mundo
60,silla,0.96,-0.833,5.179,0.241,0.301,0.085,0.107,167.1,203,mundo
60,silla,0.497,-1.719,2.684,-0.44,0.417,0.5,0.409,-91.0,1430,mundo
63,ventana,0.992,-0.593,5.42,0.592,0.305,0.188,0.143,160.8,368,mundo
63,silla,0.916,-1.321,5.236,-0.468,0.219,0.118,0.103,-171.8,219,mundo
63,silla,0.524,-1.721,2.689,-0.456,0.452,0.475,0.409,-87.4,1468,mundo
66,ventana,0.991,-0.593,5.419,0.592,0.304,0.186,0.146,161.9,341,mundo
66,silla,0.958,-1.318,5.239,-0.425,0.304,0.129,0.11,-156.8,306,mundo
66,silla,0.589,-1.637,3.096,-0.457,0.496,0.162,0.307,-94.4,1238,mundo
69,ventana,0.991,-0.591,5.419,0.592,0.302,0.183,0.149,163.4,370,mundo
69,silla,0.948,-0.715,5.239,-0.259,0.381,0.061,0.096,-61.9,236,mundo
69,silla,0.488,-1.721,2.698,-0.466,0.515,0.429,0.4,-85.2,1522,mundo
69,mesa,0.44,-1.716,2.056,0.413,0.488,0.149,0.281,-79.1,2602,mundo
72,ventana,0.991,0.792,5.741,0.82,0.318,0.107,0.149,87.6,258,mundo
72,silla,0.93,-1.295,5.178,0.0,0.433,0.152,0.086,-35.1,361,mundo
72,silla,0.49,-1.693,2.689,-0.428,0.415,0.47,0.446,-117.8,1611,mundo
72,mesa,0.476,-1.719,2.059,0.406,0.51,0.14,0.284,-79.6,2576,mundo
75,ventana,0.99,-0.623,5.42,0.615,0.266,0.137,0.137,169.0,271,mundo
75,silla,0.908,-1.253,5.159,0.095,0.305,0.105,0.095,-29.4,218,mundo
75,mesa,0.58,-1.713,2.054,0.398,0.51,0.148,0.299,-79.3,2640,mundo
75,silla,0.448,-1.624,3.1,-0.463,0.564,0.16,0.338,-86.0,1429,mundo
78,ventana,0.99,-0.629,5.413,0.589,0.36,0.195,0.206,154.9,375,mundo
78,silla,0.932,-1.32,5.209,-0.058,0.302,0.134,0.06,-48.6,261,mundo
78,silla,0.562,-1.642,3.094,-0.456,0.549,0.178,0.325,-90.6,1414,mundo
78,mesa,0.503,-1.713,2.07,0.397,0.507,0.148,0.293,-80.9,2422,mundo
81,ventana,0.99,0.764,5.741,1.01,0.586,0.11,0.171,80.8,439,mundo
81,silla,0.921,-1.319,5.241,-0.432,0.309,0.133,0.125,-163.5,355,mundo
81,silla,0.504,-1.631,3.097,-0.465,0.554,0.166,0.371,-90.6,1424,mundo
84,ventana,0.991,0.775,5.749,0.996,0.683,0.116,0.197,86.8,488,mundo
84,silla,0.901,-1.194,5.127,0.151,0.233,0.149,0.105,-31.5,300,mundo
84,silla,0.59,-1.383,2.517,-0.072,0.777,0.317,0.767,-86.0,3679,mundo
87,ventana,0.989,0.776,5.727,0.913,0.541,0.117,0.189,86.2,432,mundo
